# validation_accuracy,testing_accuracy,activation,structure,init_learning_rate,learning_type,regulizer,model
83.41968911917098,98.73125720876585,tanh,63-42-27-27,0.0005,adaptive,0.5,
83.41968911917098,92.21453287197232,logistic,63-18-27,0.007,adaptive,0.05,
83.41968911917098,91.81084198385237,logistic,63-18-27,0.0004,adaptive,0.05,
83.41968911917098,90.94579008073818,logistic,63-18-27,0.0007,adaptive,0.04,
83.41968911917098,95.21337946943483,logistic,63-36-27,0.5,adaptive,0.07,
83.41968911917098,95.67474048442907,logistic,63-36-27,0.04,adaptive,0.04,
83.41968911917098,94.57900807381776,logistic,63-36-27,0.05,adaptive,0.1,
83.41968911917098,94.23298731257209,logistic,63-36-27,0.001,adaptive,0.1,
83.41968911917098,95.6170703575548,logistic,63-36-27,0.0001,adaptive,0.07,
83.41968911917098,99.48096885813149,logistic,63-51-39-27,0.001,adaptive,0.1,
83.41968911917098,94.63667820069203,relu,63-36-27,0.05,adaptive,0.1,
83.24697754749567,90.42675893886967,tanh,63-18-27,0.4,adaptive,0.4,
83.24697754749567,92.44521337946944,tanh,63-18-27,0.05,adaptive,0.1,
83.24697754749567,91.98385236447521,tanh,63-36-27,0.4,adaptive,0.7,
83.24697754749567,97.57785467128028,tanh,63-36-27,0.05,adaptive,0.1,
83.24697754749567,93.71395617070357,tanh,63-36-27,0.07,adaptive,0.5,
83.24697754749567,98.84659746251442,tanh,63-36-27,0.0007,adaptive,0.04,
83.24697754749567,99.65397923875432,tanh,63-51-39-27,0.4,adaptive,0.5,
83.24697754749567,100.0,tanh,63-51-39-27,0.4,adaptive,0.05,
83.24697754749567,99.88465974625143,tanh,63-51-39-27,0.5,adaptive,0.5,
83.24697754749567,99.88465974625143,tanh,63-51-39-27,0.01,adaptive,0.4,
83.24697754749567,97.98154555940023,tanh,63-42-27-27,0.5,adaptive,0.7,
83.24697754749567,99.53863898500576,tanh,63-42-27-27,0.04,adaptive,0.4,
83.24697754749567,97.52018454440599,tanh,63-42-27-27,0.004,adaptive,0.7,
83.24697754749567,92.2722029988466,logistic,63-18-27,0.1,adaptive,0.04,
83.24697754749567,92.56055363321799,logistic,63-18-27,0.004,adaptive,0.01,
83.24697754749567,95.8477508650519,logistic,63-36-27,0.4,adaptive,0.07,
83.24697754749567,95.96309111880046,logistic,63-36-27,0.7,adaptive,0.07,
83.24697754749567,96.77047289504037,logistic,63-36-27,0.07,adaptive,0.04,
83.24697754749567,94.80968858131487,logistic,63-36-27,0.004,adaptive,0.1,
83.24697754749567,95.67474048442907,logistic,63-36-27,0.005,adaptive,0.07,
83.24697754749567,98.9042675893887,logistic,63-51-39-27,0.0005,adaptive,0.1,
83.24697754749567,98.09688581314879,logistic,63-42-27-27,0.01,adaptive,0.1,
